
> yaya-prototype@0.1.0 dev:web
> next dev

▲ Next.js 16.2.1 (Turbopack)
- Local:         http://localhost:3000
- Network:       http://10.24.74.123:3000
- Environments: .env.local, .env
✓ Ready in 528ms

 GET / 200 in 296ms (next.js: 157ms, application-code: 139ms)
 GET /api/health 200 in 90ms (next.js: 60ms, application-code: 30ms)
 POST /api/import 400 in 66ms (next.js: 43ms, application-code: 22ms)
 GET / 200 in 116ms (next.js: 5ms, application-code: 112ms)
 GET / 200 in 68ms (next.js: 13ms, application-code: 55ms)
 GET /api/health 200 in 24ms (next.js: 7ms, application-code: 17ms)
 POST /api/import 400 in 62ms (next.js: 7ms, application-code: 55ms)
 POST /api/import 400 in 17ms (next.js: 5ms, application-code: 12ms)
 POST /api/import 400 in 34ms (next.js: 12ms, application-code: 22ms)
 POST /api/import 400 in 21ms (next.js: 6ms, application-code: 15ms)
 POST /api/import 400 in 22ms (next.js: 8ms, application-code: 14ms)
✓ Compiled in 594ms
 GET / 200 in 112ms (next.js: 63ms, application-code: 50ms)
 GET / 200 in 145ms (next.js: 24ms, application-code: 120ms)
 GET /api/health 200 in 68ms (next.js: 23ms, application-code: 44ms)
 GET / 200 in 230ms (next.js: 8ms, application-code: 222ms)
 GET /api/health 200 in 134ms (next.js: 74ms, application-code: 59ms)
 GET / 200 in 288ms (next.js: 9ms, application-code: 279ms)
 POST /api/import 400 in 42ms (next.js: 23ms, application-code: 19ms)
 POST /api/import 400 in 19ms (next.js: 5ms, application-code: 14ms)
✓ Compiled in 49ms
 POST /api/import 400 in 66ms (next.js: 10ms, application-code: 56ms)
 POST /api/import 400 in 8ms (next.js: 1960µs, application-code: 7ms)
 POST /api/import 400 in 17ms (next.js: 3ms, application-code: 14ms)
 POST /api/import 400 in 15ms (next.js: 4ms, application-code: 11ms)
 POST /api/import 400 in 23ms (next.js: 4ms, application-code: 19ms)
 POST /api/import 400 in 16ms (next.js: 3ms, application-code: 13ms)
 POST /api/import 200 in 284ms (next.js: 3ms, application-code: 281ms)
 GET / 200 in 267ms (next.js: 9ms, application-code: 258ms)
 GET /api/health 200 in 110ms (next.js: 13ms, application-code: 97ms)
 POST /api/import 200 in 99ms (next.js: 13ms, application-code: 86ms)
 GET / 200 in 58ms (next.js: 8ms, application-code: 50ms)
 GET /api/health 200 in 20ms (next.js: 4ms, application-code: 16ms)
 POST /api/import 200 in 30ms (next.js: 9ms, application-code: 21ms)
✓ Compiled in 58ms
 POST /api/import 200 in 151ms (next.js: 26ms, application-code: 125ms)
 POST /api/import 200 in 107ms (next.js: 35ms, application-code: 72ms)
 PUT /api/import 200 in 56ms (next.js: 6ms, application-code: 50ms)
 PUT /api/import 400 in 336ms (next.js: 3ms, application-code: 333ms)
 GET / 200 in 313ms (next.js: 156ms, application-code: 157ms)
 GET /api/health 200 in 105ms (next.js: 56ms, application-code: 49ms)
 POST /api/import 200 in 11ms (next.js: 3ms, application-code: 8ms)
✓ Compiled in 43ms
 GET / 200 in 155ms (next.js: 85ms, application-code: 70ms)
 GET / 200 in 209ms (next.js: 4ms, application-code: 204ms)
 GET / 200 in 210ms (next.js: 6ms, application-code: 203ms)
 GET / 200 in 210ms (next.js: 28ms, application-code: 183ms)
 GET / 200 in 211ms (next.js: 47ms, application-code: 163ms)
 GET / 200 in 211ms (next.js: 102ms, application-code: 109ms)
 GET / 200 in 65ms (next.js: 6ms, application-code: 59ms)
 GET / 200 in 119ms (next.js: 9ms, application-code: 110ms)
 GET / 200 in 222ms (next.js: 8ms, application-code: 214ms)
 GET / 200 in 220ms (next.js: 28ms, application-code: 192ms)
 GET / 200 in 221ms (next.js: 43ms, application-code: 177ms)
 GET / 200 in 198ms (next.js: 38ms, application-code: 160ms)
 GET / 200 in 150ms (next.js: 10ms, application-code: 140ms)
 GET / 200 in 197ms (next.js: 9ms, application-code: 189ms)
 GET / 200 in 199ms (next.js: 4ms, application-code: 195ms)
 GET / 200 in 182ms (next.js: 4ms, application-code: 178ms)
 GET / 200 in 182ms (next.js: 19ms, application-code: 163ms)
 GET / 200 in 183ms (next.js: 32ms, application-code: 151ms)
 GET / 200 in 116ms (next.js: 11ms, application-code: 105ms)
 GET / 200 in 139ms (next.js: 6ms, application-code: 133ms)
 GET / 200 in 136ms (next.js: 4ms, application-code: 132ms)
 GET / 200 in 117ms (next.js: 23ms, application-code: 95ms)
 GET / 200 in 118ms (next.js: 44ms, application-code: 74ms)
 GET / 200 in 140ms (next.js: 22ms, application-code: 117ms)
 GET / 200 in 66ms (next.js: 9ms, application-code: 56ms)
 GET / 200 in 217ms (next.js: 4ms, application-code: 213ms)
 GET / 200 in 215ms (next.js: 8ms, application-code: 207ms)
 GET / 200 in 212ms (next.js: 34ms, application-code: 178ms)
 GET / 200 in 183ms (next.js: 21ms, application-code: 161ms)
 GET / 200 in 183ms (next.js: 68ms, application-code: 116ms)
 GET / 200 in 125ms (next.js: 50ms, application-code: 75ms)
 GET / 200 in 98ms (next.js: 5ms, application-code: 93ms)
 GET / 200 in 75ms (next.js: 5ms, application-code: 71ms)
 GET / 200 in 74ms (next.js: 17ms, application-code: 57ms)
 GET / 200 in 74ms (next.js: 32ms, application-code: 42ms)
 GET / 200 in 29ms (next.js: 5ms, application-code: 24ms)
 GET /api/session 404 in 320ms (next.js: 260ms, application-code: 61ms)
 POST /api/session 200 in 261ms (next.js: 203ms, application-code: 58ms)
 GET /api/session 200 in 34ms (next.js: 4ms, application-code: 30ms)
 GET / 200 in 227ms (next.js: 11ms, application-code: 215ms)
 GET /api/health 200 in 77ms (next.js: 52ms, application-code: 25ms)
 POST /api/import 200 in 57ms (next.js: 35ms, application-code: 23ms)
 GET / 200 in 163ms (next.js: 69ms, application-code: 95ms)
 GET / 200 in 185ms (next.js: 5ms, application-code: 180ms)
